p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,cateogory
0.04523625,0.06052364,0.05473408,0.03876718,0.04583873,0.03671295,0.04486161,0.04407551,0.03408125,0.03464402,0.03943258,0.05307642,0.07086846,0.06307577,0.08342962,long_blink
0.03671295,0.04486161,0.04407551,0.03408125,0.03464402,0.03943258,0.05307642,0.07086846,0.06307577,0.08342962,0.07222402,0.0811371,0.0861579,0.05961382,0.0571265,long_blink
0.03943258,0.05307642,0.07086846,0.06307577,0.08342962,0.07222402,0.0811371,0.0861579,0.05961382,0.0571265,0.06890978,0.07216453,0.07797808,0.08691123,0.06043396,long_blink
0.07222402,0.0811371,0.0861579,0.05961382,0.0571265,0.06890978,0.07216453,0.07797808,0.08691123,0.06043396,0.05276385,0.05115616,0.05609565,0.06898875,0.0721199,long_blink
0.06890978,0.07216453,0.07797808,0.08691123,0.06043396,0.05276385,0.05115616,0.05609565,0.06898875,0.0721199,0.05914326,0.06166595,0.05841429,0.06028488,0.05521524,long_blink
0.05276385,0.05115616,0.05609565,0.06898875,0.0721199,0.05914326,0.06166595,0.05841429,0.06028488,0.05521524,0.0445356,0.05420892,0.0741093,0.06432007,0.04471556,long_blink
0.05914326,0.06166595,0.05841429,0.06028488,0.05521524,0.0445356,0.05420892,0.0741093,0.06432007,0.04471556,0.05512151,0.0506203,0.06234322,0.05039085,0.05781631,long_blink
0.0445356,0.05420892,0.0741093,0.06432007,0.04471556,0.05512151,0.0506203,0.06234322,0.05039085,0.05781631,0.05499105,0.05554565,0.04449396,0.04664387,0.03411418,long_blink
0.05512151,0.0506203,0.06234322,0.05039085,0.05781631,0.05499105,0.05554565,0.04449396,0.04664387,0.03411418,0.05158508,0.04541007,0.05128805,0.04858509,0.03954954,long_blink
0.05499105,0.05554565,0.04449396,0.04664387,0.03411418,0.05158508,0.04541007,0.05128805,0.04858509,0.03954954,0.04601326,0.04800203,0.05634764,0.05902045,0.05860622,long_blink
