p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,category
0.045236255,0.060523642,0.054734076,0.038767181,0.045838728,0.036712954,0.044861607,0.044075513,0.034081255,0.034644016,0.039432577,0.053076416,0.070868465,0.063075769,0.083429623,long_blink
0.036712954,0.044861607,0.044075513,0.034081255,0.034644016,0.039432577,0.053076416,0.070868465,0.063075769,0.083429623,0.072224023,0.081137099,0.086157897,0.059613817,0.057126501,long_blink
0.039432577,0.053076416,0.070868465,0.063075769,0.083429623,0.072224023,0.081137099,0.086157897,0.059613817,0.057126501,0.068909785,0.072164531,0.077978078,0.086911227,0.06043396,long_blink
0.072224023,0.081137099,0.086157897,0.059613817,0.057126501,0.068909785,0.072164531,0.077978078,0.086911227,0.06043396,0.052763847,0.051156162,0.056095653,0.068988752,0.072119903,long_blink
0.068909785,0.072164531,0.077978078,0.086911227,0.06043396,0.052763847,0.051156162,0.056095653,0.068988752,0.072119903,0.059143258,0.061665951,0.058414289,0.060284883,0.055215239,long_blink
0.052763847,0.051156162,0.056095653,0.068988752,0.072119903,0.059143258,0.061665951,0.058414289,0.060284883,0.055215239,0.044535602,0.054208918,0.074109295,0.064320068,0.044715565,long_blink
0.059143258,0.061665951,0.058414289,0.060284883,0.055215239,0.044535602,0.054208918,0.074109295,0.064320068,0.044715565,0.055121507,0.050620298,0.062343217,0.050390854,0.05781631,long_blink
0.044535602,0.054208918,0.074109295,0.064320068,0.044715565,0.055121507,0.050620298,0.062343217,0.050390854,0.05781631,0.054991053,0.055545648,0.044493956,0.046643872,0.034114184,long_blink
0.055121507,0.050620298,0.062343217,0.050390854,0.05781631,0.054991053,0.055545648,0.044493956,0.046643872,0.034114184,0.051585084,0.045410075,0.051288055,0.048585087,0.039549544,long_blink
0.054991053,0.055545648,0.044493956,0.046643872,0.034114184,0.051585084,0.045410075,0.051288055,0.048585087,0.039549544,0.046013256,0.048002032,0.056347644,0.059020447,0.058606221,long_blink
0.051585084,0.045410075,0.051288055,0.048585087,0.039549544,0.046013256,0.048002032,0.056347644,0.059020447,0.058606221,0.051895449,0.059166217,0.053949353,0.050977306,0.042240815,long_blink
0.046013256,0.048002032,0.056347644,0.059020447,0.058606221,0.051895449,0.059166217,0.053949353,0.050977306,0.042240815,0.035537708,0.051285731,0.045973796,0.048390777,0.061072874,long_blink
0.051895449,0.059166217,0.053949353,0.050977306,0.042240815,0.035537708,0.051285731,0.045973796,0.048390777,0.061072874,0.047975833,0.035612778,0.045618596,0.04311117,0.045548574,long_blink
0.035537708,0.051285731,0.045973796,0.048390777,0.061072874,0.047975833,0.035612778,0.045618596,0.04311117,0.045548574,0.04858313,0.041221159,0.04028273,0.052826908,0.052600802,long_blink
0.047975833,0.035612778,0.045618596,0.04311117,0.045548574,0.04858313,0.041221159,0.04028273,0.052826908,0.052600802,0.068635973,0.062219855,0.067708404,0.051530013,0.052175896,long_blink
0.04858313,0.041221159,0.04028273,0.052826908,0.052600802,0.068635973,0.062219855,0.067708404,0.051530013,0.052175896,0.078893618,0.068591837,0.055651004,0.070926915,0.050983358,long_blink
0.068635973,0.062219855,0.067708404,0.051530013,0.052175896,0.078893618,0.068591837,0.055651004,0.070926915,0.050983358,0.082683192,0.059211806,0.061429532,0.065844897,0.071594646,long_blink
0.078893618,0.068591837,0.055651004,0.070926915,0.050983358,0.082683192,0.059211806,0.061429532,0.065844897,0.071594646,0.10747162,0.083295907,0.079980165,0.096185597,0.090238062,long_blink
0.082683192,0.059211806,0.061429532,0.065844897,0.071594646,0.10747162,0.083295907,0.079980165,0.096185597,0.090238062,0.054639588,0.068101707,0.068873875,0.040527794,0.04969644,long_blink
0.10747162,0.083295907,0.079980165,0.096185597,0.090238062,0.054639588,0.068101707,0.068873875,0.040527794,0.04969644,0.051293541,0.035003272,0.066631735,0.071605937,0.048997451,long_blink
0.054639588,0.068101707,0.068873875,0.040527794,0.04969644,0.051293541,0.035003272,0.066631735,0.071605937,0.048997451,0.053322235,0.060193941,0.06743115,0.058320112,0.054782399,long_blink
0.051293541,0.035003272,0.066631735,0.071605937,0.048997451,0.053322235,0.060193941,0.06743115,0.058320112,0.054782399,0.039485801,0.039853484,0.048477828,0.061871566,0.059304507,long_blink
